0 1 2
1 2 3
1 3 4
3 4 5
4 5 10
10 11 9
9 12 11
5 10 8
10 8 11
11 8 13
8 13 14
5 8 7
8 7 14
5 7 6
7 14 15
14 15 19
14 19 20
19 20 23
20 21 23
21 23 22
19 23 24
15 18 19
18 19 24
15 18 17
18 24 17
7 6 15
6 15 17
6 17 16
16 26 25
26 25 27
16 17 25
17 25 24
27 25 28
28 25 29
25 24 29
24 29 23
23 29 30
22 23 30
30 22 31
31 30 32
30 32 33
29 30 33
29 33 34
29 34 35
29 35 28
35 28 36
35 36 44
44 36 45
45 36 43
36 43 37
43 37 42
37 42 38
42 41 40
38 42 40
38 40 39
44 45 55
45 55 46
55 46 47
46 47 48
47 48 49
47 54 49
54 53 52
54 49 50
54 50 52
50 52 51
33 88 87
33 87 34
34 87 89
34 35 89
35 44 89
44 89 58
44 55 58
55 56 58
56 57 58
57 60 58
60 61 58
60 61 62
61 62 64
62 64 63
64 63 68
68 66 64
64 65 66
66 67 68
61 59 58
89 58 77
89 77 87
88 87 86
86 87 77
86 85 77
85 79 77
85 83 79
79 83 84
79 78 84
79 77 78
59 58 77
80 82 81
81 80 84
80 84 78
59 69 77
69 71 77
71 78 77
69 70 71
71 70 72
70 72 73
72 76 75
72 73 75
75 73 74
